PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0Jhbc,4r1k1/p1Q2ppp/8/2p5/2b5/8/P1P1rPPP/q4RK1 w - - 0 18,f1a1 e2e1 a1e1 e8e1,526,94,100,165,backRankMate endgame mate mateIn2 short,https://lichess.org/INcpULvp#35,Scotch_Game Scotch_Game_Malaniuk_Variation
0B15d,r3kb1r/ppp2p1p/2npb3/4p1pq/2P1P1nN/P1NP2P1/1P2BP1P/R1BQ1RK1 w kq - 0 11,h4f5 h5h2,666,102,94,178,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/JLZQliL4#21,Kings_Pawn_Game Kings_Pawn_Game_Dresden_Opening
0IJeP,6k1/1bR2p2/p4P2/5Bp1/p5P1/4b1K1/PP1r4/8 b - - 5 38,b7d5 c7c8,609,85,100,495,endgame mate mateIn1 oneMove pillsburysMate,https://lichess.org/Q311qar2/black#76,
02ZYT,3r2k1/1n1rbppp/pp2p3/2p5/1PP1P3/P3BN2/5PPP/2RR2K1 w - - 3 19,f3e5 d7d1 c1d1 d8d1,617,84,76,210,backRankMate mate mateIn2 middlegame short,https://lichess.org/WQqidVJR#37,
09zTO,r1b2Rk1/ppq2pp1/4p2b/8/7Q/8/B1P1N1PP/3R3K b - - 0 24,g8f8 d1d8 c7d8 h4d8,863,78,89,583,mate mateIn2 middlegame short,https://lichess.org/qvr1C0JV/black#48,
0A2Q3,r4rk1/1b4pp/p1qbp3/1p3p2/2pP4/2P3B1/PPB2PPP/R2QR1K1 w - - 0 18,e1e6 c6g2,776,102,38,23,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/YVonahLt#35,Sicilian_Defense Sicilian_Defense_Alapin_Variation
0Ap5R,3qr1k1/1b1n2bp/3p1ppB/p7/2NNr3/P1P4Q/1P3PPP/1R2R1K1 w - - 0 29,c4d6 e4e1 b1e1 e8e1,914,93,79,45,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/a07bIOL1#57,
0E2VC,r3k2r/pp1qbppp/5n2/4Q3/8/2P1R3/PP4PP/RN4K1 b kq - 2 17,d7d5 e5e7,838,84,62,145,mate mateIn1 middlegame oneMove,https://lichess.org/wmbZAE1E/black#34,Indian_Defense Indian_Defense_Paleface_Attack
0IIud,1b3r1k/6pp/4Q3/2p5/4B3/1Pp3P1/2P1q2P/R6K w - - 2 30,e6d5 f8f1 a1f1 e2f1,907,77,87,234,endgame mate mateIn2 short,https://lichess.org/ajYEMqKu#59,
0CUw4,1r2k1nr/p3p3/3p1p2/2p5/2P1P1qp/1PQ2RP1/P4P1P/R1B3K1 w k - 0 20,f3f4 g4d1 c3e1 d1e1,947,86,82,206,crushing kingsideAttack middlegame short,https://lichess.org/1vj6Rjbg#39,
050jP,r2q1rk1/1b1p1ppp/p3n3/1p1N4/4Q3/8/PPB2PPP/R4RK1 b - - 0 18,f8e8 e4h7 g8f8 h7h8,978,82,100,59,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/cyhRZZxh/black#36,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted
07l35,4r1k1/2b2pp1/ppp1q2p/8/3P4/2N2Q1P/PP3PP1/3R2K1 w - - 0 25,d4d5 e6e1 d1e1 e8e1,815,77,100,252,endgame kingsideAttack mate mateIn2 pillsburysMate sacrifice short,https://lichess.org/LzOZ2qOy#49,
0KRuV,r3r1k1/pp2qppp/2p5/4n3/4Q3/2PB4/P1P2PPP/R4RK1 b - - 2 17,a8d8 e4h7 g8f8 h7h8,865,96,69,89,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/Aoojr53l/black#34,French_Defense French_Defense_Exchange_Variation
026vm,rnbq2kr/ppp1n3/3p3p/4P1p1/4Pp2/1QP5/PP4PP/RNB2RK1 b - - 1 11,g8h7 b3f7,764,78,100,202,epauletteMate mate mateIn1 oneMove opening,https://lichess.org/ok3jv9qy/black#22,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
098eX,2kr1bnr/1ppq1ppp/p1Bpb3/1N2p3/2P5/1Q1P2P1/PP2PP1P/R1B1K1NR b KQ - 0 8,b7c6 b5a7,921,95,94,107,cornerMate mate mateIn1 oneMove opening,https://lichess.org/L6UTqBUZ/black#16,English_Opening English_Opening_Kings_English_Variation
0559o,1rb2r2/p3ppkp/1qpp1np1/8/4P2P/2N5/PPPQ1PP1/2KR1B1R w - - 1 13,f2f3 b6b2,819,124,100,37,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/UiScteSe#25,Pirc_Defense Pirc_Defense_Classical_Variation
0LaK8,8/1p3rp1/p7/2P3kp/1P5P/P3R1K1/8/8 b - - 0 47,g5f5 e3f3 f5g6 f3f7,977,92,70,70,crushing endgame rookEndgame short,https://lichess.org/gsgv8Ufx/black#94,
